rank,candidate_id,title,country,yoe,lexical,trust,dense,band,career,core_fit,penalty_factor,multiplier,final,penalties
74,CAND_0060072,Staff Machine Learning Engineer,India,5.7,0.4535,0.4725,0.8625,0.92,1.0,0.6756,1.0,0.7919,0.534973,-
75,CAND_0017960,Recommendation Systems Engineer,India,7.7,0.5619,0.2112,0.8486,1.0,0.925,0.6337,1.0,0.9353,0.592662,-
76,CAND_0037000,Search Engineer,India,2.7,0.5731,0.2437,0.867,0.345,0.9125,0.5799,1.0,0.9145,0.530345,-
77,CAND_0009691,Applied ML Engineer,India,6.2,0.3794,0.39,0.8723,1.0,0.8833,0.6188,1.0,0.9067,0.56109,-
78,CAND_0049896,Search Engineer,India,7.3,0.5512,0.1662,0.8762,1.0,1.0,0.6384,0.925,0.9065,0.53528,closed_source_no_validation
79,CAND_0013613,Machine Learning Engineer,Singapore,4.7,0.6356,0.2587,0.866,0.845,0.9812,0.666,1.0,0.8554,0.569715,-
80,CAND_0050876,Applied ML Engineer,India,6.0,0.3588,0.275,0.908,1.0,0.85,0.5826,1.0,0.9482,0.552392,-
81,CAND_0039838,Recommendation Systems Engineer,India,4.9,0.4734,0.4075,0.795,0.895,0.9437,0.6414,1.0,0.9024,0.57881,-
82,CAND_0065878,Senior Data Scientist,India,7.8,0.3967,0.5062,0.9287,1.0,0.8375,0.6524,0.925,0.89,0.537081,closed_source_no_validation
83,CAND_0057563,NLP Engineer,India,6.8,0.54,0.2375,0.8478,1.0,0.85,0.6185,1.0,0.8916,0.551498,-
84,CAND_0089552,Machine Learning Engineer,India,6.0,0.5512,0.2975,0.7904,1.0,1.0,0.6583,1.0,0.8211,0.54054,-
85,CAND_0078002,Machine Learning Engineer,India,6.3,0.4736,0.1412,0.8248,1.0,0.8833,0.5778,1.0,0.9384,0.542197,-
86,CAND_0099806,AI Engineer,India,4.6,0.3494,0.2837,0.8865,0.82,0.9437,0.5795,1.0,0.9739,0.564344,-
87,CAND_0051004,Senior Data Scientist,India,4.7,0.39,0.2912,0.7923,0.845,0.9437,0.5819,1.0,0.9582,0.557579,-
88,CAND_0075439,Machine Learning Engineer,India,4.3,0.5512,0.3,0.7824,0.745,0.825,0.5972,1.0,0.8909,0.532082,-
89,CAND_0012957,Search Engineer,India,4.9,0.3588,0.3962,0.9495,0.895,0.85,0.6086,1.0,0.8716,0.530465,-
90,CAND_0009024,Search Engineer,India,5.2,0.3312,0.2587,0.8743,0.92,1.0,0.5872,1.0,0.894,0.524961,-
91,CAND_0005649,Senior Data Scientist,India,7.4,0.6744,0.4975,0.8331,1.0,0.9562,0.7429,0.8,0.9074,0.539291,title_chaser
92,CAND_0092278,Senior NLP Engineer,India,6.8,0.7019,0.285,0.8806,1.0,1.0,0.7139,0.925,0.7702,0.508608,closed_source_no_validation
93,CAND_0015578,AI Engineer,India,5.4,0.4294,0.4112,0.7762,0.92,0.9437,0.6288,1.0,0.8996,0.565676,-
94,CAND_0011432,Senior Data Scientist,India,7.6,0.5619,0.1725,0.7606,1.0,0.9437,0.6145,1.0,0.8999,0.553015,-
95,CAND_0036184,Recommendation Systems Engineer,India,6.0,0.3856,0.275,0.8971,1.0,1.0,0.619,1.0,0.9753,0.603716,-
96,CAND_0018549,Recommendation Systems Engineer,India,6.8,0.3588,0.1325,0.954,1.0,0.85,0.5538,1.0,0.9298,0.514966,-
97,CAND_0061339,Search Engineer,India,4.2,0.4544,0.175,0.8694,0.72,0.9312,0.5687,1.0,0.917,0.521525,-
98,CAND_0064270,Applied ML Engineer,India,4.2,0.4284,0.3175,0.8743,0.72,0.9437,0.5998,1.0,0.8891,0.53329,-
99,CAND_0011162,Recommendation Systems Engineer,India,5.8,0.4169,0.2687,0.8976,0.92,0.9437,0.6076,1.0,0.9327,0.566747,-
100,CAND_0037566,Machine Learning Engineer,India,6.9,0.4087,0.1675,0.7462,1.0,0.9437,0.5652,1.0,0.93,0.525611,-
